[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Run CheckLang Behavior [ RunTime:0.001936s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002574s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ action_begin ] --START--
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Run Login Behavior [ RunTime:0.000859s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000905s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ view_template ] --START--
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Run LocationTemplate Behavior [ RunTime:0.000646s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ view_template ] --END-- [ RunTime:0.000694s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ view_parse ] --START--
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Run ParseTemplate Behavior [ RunTime:0.005516s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005560s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ view_filter ] --START--
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Run ContentReplace Behavior [ RunTime:0.000248s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Run TokenBuild Behavior [ RunTime:0.000170s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000152s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Run ShowRuntime Behavior [ RunTime:0.000194s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000851s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ view_end ] --START--
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Run ShowPageTrace Behavior [ RunTime:0.000174s ]
[ 2013-08-21T16:52:02+08:00 ] /Config/save | INFO: Tag[ view_end ] --END-- [ RunTime:0.000202s ]
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Tag[ route_check ] --START--
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Run CheckRoute Behavior [ RunTime:0.000611s ]
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Tag[ route_check ] --END-- [ RunTime:0.000715s ]
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Tag[ app_begin ] --START--
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000340s ]
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Run CheckLang Behavior [ RunTime:0.002180s ]
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002623s ]
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Tag[ action_begin ] --START--
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Run Login Behavior [ RunTime:0.001380s ]
[ 2013-08-21T16:52:03+08:00 ] /Config/edit | INFO: Tag[ action_begin ] --END-- [ RunTime:0.001472s ]
