[ 2013-08-29T18:38:41+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-08-29T18:38:41+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.003215s ]
[ 2013-08-29T18:38:41+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.003282s ]
[ 2013-08-29T18:38:41+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-08-29T18:38:41+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005975s ]
[ 2013-08-29T18:38:41+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.014111s ]
[ 2013-08-29T18:38:41+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.020159s ]
[ 2013-08-29T18:38:41+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-08-29T18:38:41+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
[ 2013-08-29T18:38:41+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 23 行.
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ route_check ] --START--
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run CheckRoute Behavior [ RunTime:0.000222s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000310s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ app_begin ] --START--
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000252s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run CheckLang Behavior [ RunTime:0.000846s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001205s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ action_begin ] --START--
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run Login Behavior [ RunTime:0.000602s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000676s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ view_template ] --START--
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.003207s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003285s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ view_parse ] --START--
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.087285s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.087367s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ view_filter ] --START--
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run ContentReplace Behavior [ RunTime:0.001841s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run TokenBuild Behavior [ RunTime:0.001948s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001586s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001064s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006614s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ view_end ] --START--
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001037s ]
[ 2013-08-29T18:38:41+08:00 ] /User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001070s ]
