[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030202s ]
[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Tag[ view_filter ] --START--
[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Run ContentReplace Behavior [ RunTime:0.000757s ]
[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Run TokenBuild Behavior [ RunTime:0.000374s ]
[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000398s ]
[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Run ShowRuntime Behavior [ RunTime:0.000429s ]
[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002045s ]
[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Tag[ view_end ] --START--
[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000778s ]
[ 2013-09-23T10:56:36+08:00 ] /StdPop/edit?id=62 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000811s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ route_check ] --START--
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run CheckRoute Behavior [ RunTime:0.000533s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ route_check ] --END-- [ RunTime:0.000588s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ app_begin ] --START--
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000288s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run CheckLang Behavior [ RunTime:0.001988s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002332s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ action_begin ] --START--
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run Login Behavior [ RunTime:0.001085s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ action_begin ] --END-- [ RunTime:0.001125s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | SQL: SHOW COLUMNS FROM `std_pop` [ RunTime:0.001032s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 867 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | SQL: UPDATE `std_pop` SET `title`='标题',`url`='http://1',`start_date`='2013-09-22',`end_date`='2013-09-22',`width`='11',`height`='111',`live_time`='0',`max_times`='1',`start_time`='00:00',`end_time`='23:59',`weight`='10',`description`='',`country`='',`lang`='',`max_people`='0',`disabled`='0',`oemid`='',`up_time`=1379904998 WHERE ( `id` = '62' ) [ RunTime:0.023243s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | SQL: SHOW COLUMNS FROM `std_pop` [ RunTime:0.001081s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [2] Missing argument 2 for StdPopModel::getByDate(), called in /data/www/pop.soft365.com/webroot/Lib/Model/RefreshPopModel.class.php on line 25 and defined StdPopModel.class.php 第 41 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Undefined variable: user_id StdPopModel.class.php 第 44 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | SQL: SELECT * FROM `std_pop` WHERE '2013-09-23' between start_date and end_date  [ RunTime:0.000373s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | SQL: SHOW COLUMNS FROM `content_pop` [ RunTime:0.000980s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [2] Missing argument 2 for StdPopModel::getByDate(), called in /data/www/pop.soft365.com/webroot/Lib/Model/RefreshPopModel.class.php on line 25 and defined StdPopModel.class.php 第 41 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | NOTIC: [8] Undefined variable: user_id StdPopModel.class.php 第 44 行.
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | SQL: SELECT * FROM `content_pop` WHERE '2013-09-23' between start_date and end_date  [ RunTime:0.000258s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ view_template ] --START--
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run LocationTemplate Behavior [ RunTime:0.000834s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ view_template ] --END-- [ RunTime:0.000880s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ view_parse ] --START--
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run ParseTemplate Behavior [ RunTime:0.005791s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005834s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ view_filter ] --START--
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run ContentReplace Behavior [ RunTime:0.000290s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run TokenBuild Behavior [ RunTime:0.000267s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000262s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run ShowRuntime Behavior [ RunTime:0.000294s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001218s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ view_end ] --START--
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Run ShowPageTrace Behavior [ RunTime:0.000277s ]
[ 2013-09-23T10:56:38+08:00 ] /StdPop/save | INFO: Tag[ view_end ] --END-- [ RunTime:0.000308s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Tag[ route_check ] --START--
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Run CheckRoute Behavior [ RunTime:0.000949s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001041s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Tag[ app_begin ] --START--
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000527s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Run CheckLang Behavior [ RunTime:0.003283s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003906s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Tag[ action_begin ] --START--
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Run Login Behavior [ RunTime:0.001831s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Tag[ action_begin ] --END-- [ RunTime:0.001894s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | SQL: SHOW COLUMNS FROM `std_pop` [ RunTime:0.001172s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | SQL: SELECT COUNT(*) AS tp_count FROM `std_pop` WHERE 1  LIMIT 1   [ RunTime:0.000261s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | SQL: SELECT * FROM `std_pop` WHERE 1  ORDER BY id desc LIMIT 0,20   [ RunTime:0.000440s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Tag[ view_template ] --START--
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001214s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001259s ]
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | INFO: Tag[ view_parse ] --START--
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined offset: 1 ThinkTemplate.class.php 第 536 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: selectProductName c0b8c0fc882b778550dabbc9dfd1d849.php 第 79 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 83 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 84 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 85 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 87 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 88 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 89 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 90 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 91 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 92 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 93 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 94 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 96 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 97 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 98 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 99 行.
[ 2013-09-23T10:56:39+08:00 ] /StdPop/index | NOTIC: [8] Undefined variable: Think c0b8c0fc882b778550dabbc9dfd1d849.php 第 100 行.
