[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.011115s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.011217s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002612s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.012196s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.014911s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-08-28T11:47:39+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
[ 2013-08-28T11:47:39+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 23 行.
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Tag[ route_check ] --START--
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Run CheckRoute Behavior [ RunTime:0.000171s ]
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000253s ]
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Tag[ app_begin ] --START--
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000135s ]
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Run CheckLang Behavior [ RunTime:0.000714s ]
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000934s ]
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Tag[ action_begin ] --START--
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Run Login Behavior [ RunTime:0.000458s ]
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000517s ]
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Tag[ view_template ] --START--
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.003527s ]
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003589s ]
[ 2013-08-28T11:47:39+08:00 ] /User/login | INFO: Tag[ view_parse ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.449764s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.449835s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_filter ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run ContentReplace Behavior [ RunTime:0.005133s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run TokenBuild Behavior [ RunTime:0.012912s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002825s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.002342s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.023410s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_end ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002908s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.003003s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.000048s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.000098s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000043s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.000128s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000209s ]
[ 2013-08-28T11:47:39+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-08-28T11:47:39+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
[ 2013-08-28T11:47:39+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 23 行.
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ route_check ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run CheckRoute Behavior [ RunTime:0.000097s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000189s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ app_begin ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000130s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run CheckLang Behavior [ RunTime:0.000398s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000698s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ action_begin ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run Login Behavior [ RunTime:0.000244s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000294s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_template ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000073s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000118s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_parse ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.128504s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.128559s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_filter ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run ContentReplace Behavior [ RunTime:0.000079s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run TokenBuild Behavior [ RunTime:0.000123s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000032s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000051s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000356s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_end ] --START--
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000036s ]
[ 2013-08-28T11:47:40+08:00 ] /User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000059s ]
[ 2013-08-28T12:01:47+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-08-28T12:01:47+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.000306s ]
[ 2013-08-28T12:01:47+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.000356s ]
[ 2013-08-28T12:01:47+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-08-28T12:01:47+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000180s ]
[ 2013-08-28T12:01:47+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.001102s ]
[ 2013-08-28T12:01:47+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001331s ]
[ 2013-08-28T12:01:47+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-08-28T12:01:47+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
